"Date","Period","GrossExposure","PortfolioReturn","PortfolioRisk","PredictedReturn"
2023-03-03,"2023-2024",2,0.00100389395916522,0.0194521703170246,0.0110999281804596
2023-03-03,"2023-2024",2.5,0.00100389395916522,0.0194521703170246,0.0110999281804596
2023-03-03,"2023-2024",3,0.00100389395916522,0.0194521703170246,0.0110999281804596
2023-03-06,"2023-2024",1,-0.00129875966633505,0.0199247550201891,0.0111187218495607
2023-03-06,"2023-2024",1.5,-0.00116181108136363,0.0197844489693434,0.0115188706973045
2023-03-06,"2023-2024",2,-0.00116181108136363,0.0197844489693434,0.0115188706973045
2023-03-06,"2023-2024",2.5,-0.00116181108136363,0.0197844489693434,0.0115188706973045
2023-03-06,"2023-2024",3,-0.00116181108136363,0.0197844489693434,0.0115188706973045
2023-03-07,"2023-2024",1,0.00196594069707902,0.0244986761120548,0.0108204194484602
2023-03-07,"2023-2024",1.5,0.00188647553720515,0.0244436400331095,0.0114591633501656
2023-03-07,"2023-2024",2,0.00188647553720515,0.0244436400331095,0.0114591633501656
2023-03-07,"2023-2024",2.5,0.00188647553720515,0.0244436400331095,0.0114591633501656
2023-03-07,"2023-2024",3,0.00188647553720515,0.0244436400331095,0.0114591633501656
2023-03-08,"2023-2024",1,0.000402431833110141,0.0235769373391798,0.0135222233566036
2023-03-08,"2023-2024",1.5,0.000294046746413176,0.0233322562293406,0.0147558357567162
2023-03-08,"2023-2024",2,0.000294046746413176,0.0233322562293406,0.0147558357567162
2023-03-08,"2023-2024",2.5,0.000294046746413176,0.0233322562293406,0.0147558357567162
2023-03-08,"2023-2024",3,0.000294046746413176,0.0233322562293406,0.0147558357567162
2023-03-09,"2023-2024",1,-0.00085840204824387,0.0243521087106703,0.0110310943120395
2023-03-09,"2023-2024",1.5,-0.000976246114716588,0.024279465855011,0.0115830941566553
2023-03-09,"2023-2024",2,-0.000976246114716588,0.024279465855011,0.0115830941566553
2023-03-09,"2023-2024",2.5,-0.000976246114716588,0.024279465855011,0.0115830941566553
2023-03-09,"2023-2024",3,-0.000976246114716588,0.024279465855011,0.0115830941566553
2023-03-10,"2023-2024",1,0.000876184254161,0.0235731309740124,0.0135240133640137
2023-03-10,"2023-2024",1.5,0.000997452827883076,0.0233282987037056,0.0147757259194405
2023-03-10,"2023-2024",2,0.000997452827883076,0.0233282987037056,0.0147757259194405
2023-03-10,"2023-2024",2.5,0.000997452827883076,0.0233282987037056,0.0147757259194405
2023-03-10,"2023-2024",3,0.000997452827883076,0.0233282987037056,0.0147757259194405
2023-03-13,"2023-2024",1,-0.000801487906923833,0.0195674791972148,0.0117879449514605
2023-03-13,"2023-2024",1.5,2.89911412252988e-06,0.0194419079703605,0.0121417948768936
2023-03-13,"2023-2024",2,2.89911412252988e-06,0.0194419079703605,0.0121417948768936
2023-03-13,"2023-2024",2.5,2.89911412252988e-06,0.0194419079703605,0.0121417948768936
2023-03-13,"2023-2024",3,2.89911412252988e-06,0.0194419079703605,0.0121417948768936
2023-03-14,"2023-2024",1,-0.00447103281593023,0.0244775513958163,0.0111474155396142
2023-03-14,"2023-2024",1.5,-0.00445598207393253,0.0244548353670021,0.0112396670926507
2023-03-14,"2023-2024",2,-0.00445598207393253,0.0244548353670021,0.0112396670926507
2023-03-14,"2023-2024",2.5,-0.00445598207393253,0.0244548353670021,0.0112396670926507
2023-03-14,"2023-2024",3,-0.00445598207393253,0.0244548353670021,0.0112396670926507
2023-03-15,"2023-2024",1,0.00370200730366716,0.0202506213746566,0.0111748380447875
