"Date","GrossExposure","PortfolioReturn","ForecastedRisk"
2023-01-19,1.5,-0.00135842768268796,0.0414388416989542
2023-01-19,2,-0.00181123691025061,0.0552517889319389
2023-01-19,2.5,-0.00226404613781326,0.0690647361649236
2023-01-19,3,-0.00271685536537592,0.0828776833979083
2023-01-20,1,0.00160656566138399,0.0235547156117297
2023-01-20,1.5,0.00212721404295165,0.0321550969747357
2023-01-20,2,0.00283628539060219,0.0428734626329809
2023-01-20,2.5,0.00354535673825274,0.0535918282912261
2023-01-20,3,0.00425442808590329,0.0643101939494713
2023-01-23,1,0.0145226644476658,0.136736395970088
2023-01-23,1.5,0.0204457018736534,0.189041620537447
2023-01-23,2,0.0272609358315379,0.252055494049929
2023-01-23,2.5,0.0340761697894223,0.315069367562411
2023-01-23,3,0.0408914037473068,0.378083241074893
2023-01-24,1,-0.000585334763352098,0.0245780600232972
2023-01-24,1.5,-0.00080942864163027,0.0352056468537957
2023-01-24,2,-0.00107923818884036,0.0469408624717276
2023-01-24,2.5,-0.00134904773605045,0.0586760780896596
2023-01-24,3,-0.00161885728326054,0.0704112937075915
2023-01-25,1,0.000666321702846768,0.0230190213491777
2023-01-25,1.5,0.00109335986167758,0.0314443560386544
2023-01-25,2,0.00145781314890344,0.0419258080515391
2023-01-25,2.5,0.00182226643612931,0.0524072600644239
2023-01-25,3,0.00218671972335517,0.0628887120773087
2023-01-26,1,0.00183315713711692,0.0230028182737851
2023-01-26,1.5,0.00223051214121358,0.0315029922298349
2023-01-26,2,0.00297401618828477,0.0420039896397799
2023-01-26,2.5,0.00371752023535597,0.0525049870497248
2023-01-26,3,0.00446102428242716,0.0630059844596698
2023-01-27,1,0.000739005753866681,0.0229960955980524
2023-01-27,1.5,0.000615708161542716,0.03153891195289
2023-01-27,2,0.000820944215390288,0.0420518826038533
2023-01-27,2.5,0.00102618026923786,0.0525648532548167
2023-01-27,3,0.00123141632308543,0.06307782390578
2023-01-30,1,-0.000231367667042872,0.0229943708787574
2023-01-30,1.5,-0.000233384895184785,0.0314966834154185
2023-01-30,2,-0.000311179860246381,0.0419955778872247
2023-01-30,2.5,-0.000388974825307976,0.0524944723590309
2023-01-30,3,-0.000466769790369571,0.0629933668308371
2023-01-31,1,-0.00243888584662958,0.0245200002844353
2023-01-31,1.5,-0.00350809201477506,0.0355288814172505
2023-01-31,2,-0.00467745601970009,0.0473718418896673
2023-01-31,2.5,-0.00584682002462511,0.0592148023620841
2023-01-31,3,-0.00701618402955013,0.0710577628345009
2023-02-01,1,-0.00101395508192086,0.019545919505955
2023-02-01,1.5,-0.0015999222714124,0.0275516531920195
2023-02-01,2,-0.00213322969521653,0.0367355375893594
2023-02-01,2.5,-0.00266653711902066,0.0459194219866992
2023-02-01,3,-0.00319984454282479,0.0551033063840391
2023-02-02,1,0.00126878234652947,0.0195446471540526
2023-02-02,1.5,0.00111990826854102,0.0275476446723529
2023-02-02,2,0.00149321102472136,0.0367301928964706
2023-02-02,2.5,0.0018665137809017,0.0459127411205882
2023-02-02,3,0.00223981653708204,0.0550952893447058
2023-02-03,1,-0.00244505709211222,0.0202681826109661
2023-02-03,1.5,-0.00333412542181475,0.0286049340615321
2023-02-03,2,-0.00444550056241967,0.0381399120820429
2023-02-03,2.5,-0.00555687570302459,0.0476748901025536
2023-02-03,3,-0.00666825084362951,0.0572098681230643
2023-02-06,1,0.0020978425949316,0.0202777985893768
2023-02-06,1.5,0.0029714071490086,0.028609152281885
2023-02-06,2,0.00396187619867813,0.0381455363758466
2023-02-06,2.5,0.00495234524834767,0.0476819204698083
2023-02-06,3,0.0059428142980172,0.0572183045637699
2023-02-07,1,0.00139174556063221,0.0195601217801203
2023-02-07,1.5,0.00185305436882526,0.0277381686074034
2023-02-07,2,0.00247073915843369,0.0369842248098713
2023-02-07,2.5,0.00308842394804211,0.0462302810123391
2023-02-07,3,0.00370610873765053,0.0554763372148069
2023-02-08,1,-0.000159981583376832,0.0202709282358076
2023-02-08,1.5,7.30429838431298e-05,0.0285995358716805
2023-02-08,2,9.7390645124173e-05,0.038132714495574
2023-02-08,2.5,0.000121738306405216,0.0476658931194675
2023-02-08,3,0.00014608596768626,0.0571990717433609
2023-02-09,1,7.87473020216538e-05,0.0245693630256322
2023-02-09,1.5,-4.97713349006079e-05,0.0357153889880135
2023-02-09,2,-6.63617798674768e-05,0.0476205186506846
2023-02-09,2.5,-8.29522248343464e-05,0.0595256483133558
2023-02-09,3,-9.95426698012157e-05,0.071430777976027
2023-02-10,1,-0.00443275393384224,0.0724973481026541
2023-02-10,1.5,-0.00651810740179514,0.0956444903272829
2023-02-10,2,-0.00869080986906019,0.127525987103044
2023-02-10,2.5,-0.0108635123363252,0.159407483878805
2023-02-10,3,-0.0130362148035903,0.191288980654566
2023-02-13,1,-0.00311734362075486,0.072534759090329
2023-02-13,1.5,-0.00385044383943511,0.0957484914987437
2023-02-13,2,-0.00513392511924682,0.127664655331658
2023-02-13,2.5,-0.00641740639905852,0.159580819164573
2023-02-13,3,-0.00770088767887022,0.191496982997487
2023-02-14,1,0.00328121251423107,0.0195267554998862
2023-02-14,1.5,0.0044491935299175,0.0276842274447819
2023-02-14,2,0.00593225803989,0.0369123032597092
2023-02-14,2.5,0.0074153225498625,0.0461403790746365
2023-02-14,3,0.00889838705983501,0.0553684548895638
