Date,Close,Open,High,Low
,SPLRCD,SPLRCD,SPLRCD,SPLRCD
2017.6.20,714.52,721.86,721.86,714.34
2017.6.19,723.58,721.26,724.59,719.18
2017.6.16,717.76,718.43,718.43,713.91
2017.6.15,717.96,716.58,718.82,712.33
2017.6.14,721.19,723.52,723.57,717.5
2017.6.13,721.66,719.4,722.66,718.86
2017.6.12,717.34,715.65,719.14,714.31
2017.6.9,718.11,721.96,722.69,712.45
2017.6.8,721.22,726.55,726.55,719.92
2017.6.7,725.93,725.93,726.47,724.05
2017.6.6,724.44,728.97,728.97,724.03
2017.6.5,730.52,733.21,733.21,729.55
2017.6.2,732.96,730.59,733.67,729.63
2017.6.1,730,725.55,730.01,723.22
2017.5.31,723.76,723.3,723.89,718
2017.5.30,721.98,721.4,723.66,721.4
2017.5.26,721.91,720,721.97,719.71
2017.5.25,719.7,716.42,721.74,716.13
2017.5.24,713.07,710.35,713.43,707.99
2017.5.23,710.56,713.94,714.13,709.77
2017.5.22,713.44,711.52,714.32,711.26
2017.5.19,709.57,705.96,712.18,705.8
2017.5.18,705.45,701.85,708.35,701.7
2017.5.17,701.27,708.56,710.05,701.07
2017.5.16,712.73,714.94,716.21,712.31
2017.5.15,715.06,715.25,718.16,714.38
2017.5.12,715.16,716.84,716.89,714.32
2017.5.11,716.46,718.6,718.8,711.87
2017.5.10,720.76,719.83,720.76,717.98
2017.5.9,722.76,720.2,723.46,719.13
2017.5.8,719.29,719.86,720.31,716.39
2017.5.5,717.5,715.33,717.51,712.64
2017.5.4,713.53,714.25,714.25,710.77
2017.5.3,714.31,719.07,719.07,712.13
2017.5.2,718.55,717.58,718.55,714.27
2017.5.1,717.23,718.21,720.37,716.93
2017.4.28,716.73,722.28,722.28,715.84
2017.4.27,719.81,718.66,720.55,717.76
2017.4.26,715.89,713.58,718.74,713.49
2017.4.25,712.33,709.34,713.41,709.3
2017.4.24,706.6,708.36,709.27,706.02
2017.4.21,702.34,703.69,704.04,700.68
2017.4.20,703.77,698.9,705.29,698.9
2017.4.19,696.82,698.31,701.06,696.09
2017.4.18,696.15,694.45,697.02,692.64
2017.4.17,695.86,691.59,696,691.36
2017.4.13,689.3,693.07,695.14,689.3
2017.4.12,693.85,696.24,696.74,693.23
2017.4.11,696.64,697.28,698.01,691.8
2017.4.10,696.99,695.38,699.63,694.7
2017.4.7,694.52,696.56,697.04,693.75
2017.4.6,696.97,695.4,698.93,695.1
2017.4.5,694.5,697.77,702.62,693.76
2017.4.4,696.06,696.04,697.22,694.79
2017.4.3,697.05,700.64,700.64,693.49
2017.3.31,700.24,699.34,702.08,699.34
2017.3.30,700.06,697.42,700.32,696.72
2017.3.29,698.17,693.92,698.88,693.72
2017.3.28,694.25,689.11,695.77,688.92
2017.3.27,688.96,684.81,690.22,682.62
2017.3.24,688.82,688.7,691.48,686.45
2017.3.23,687.64,686.51,691.22,685.64
2017.3.22,686.33,684.08,686.94,682.09
2017.3.21,685.5,696.14,696.62,684.86
2017.3.20,694.1,696.01,696.41,692.83
2017.3.17,695.82,696.65,696.83,693.67
2017.3.16,695.19,695.54,696.75,694.13
2017.3.15,694.85,692.75,696.22,690.44
2017.3.14,691.34,690.64,692.36,689.01
2017.3.13,691.2,690.09,691.66,689.17
2017.3.10,689.82,691.37,692.34,688.37
2017.3.9,688.89,688.93,690.78,686.79
2017.3.8,689.11,687.31,690.56,687.28
2017.3.7,686.96,688.24,689.07,686.1
2017.3.6,689.23,689.43,690.05,686.84
2017.3.3,691.63,692.54,693.25,689.19
2017.3.2,693.1,693.85,695.04,692.19
2017.3.1,694.13,693.34,695.47,692.07
2017.2.28,687.21,690.33,690.33,686.21
2017.2.27,691.68,690.22,692.28,689.03
2017.2.24,691.43,686.75,691.43,685.5
2017.2.23,688.5,694.4,694.58,687.76
2017.2.22,693.37,692.87,693.76,691.59
2017.2.21,693.21,691.38,694.5,690.58
2017.2.17,689.08,685.74,689.08,685.32
2017.2.16,687.08,689.65,690.39,685.6
2017.2.15,690.14,684.95,690.47,684.69
2017.2.14,686.68,682.84,686.68,682.63
2017.2.13,682.67,683.95,684.5,682.08
2017.2.10,681.97,679.18,682.39,678.91
2017.2.9,678.28,674.59,679.69,674.28
2017.2.8,673.67,669.84,674.58,669.84
2017.2.7,669.55,670.85,671.61,669.1
2017.2.6,670.47,671.37,672.14,669.38
2017.2.3,672.5,670.87,673.59,670.03
2017.2.2,673.23,674.05,676.28,672.3
2017.2.1,673.74,675.54,677.67,671.57
2017.1.31,674.91,673.18,674.93,670.42
2017.1.30,676.79,675.77,676.81,670.18
2017.1.27,677.34,679.1,679.27,674.69
2017.1.26,679.36,678.67,681.61,678.67
2017.1.25,677.79,676.63,678.78,676.3
2017.1.24,673.85,670.04,674.66,669.51
2017.1.23,668.4,666.27,668.7,664.48
2017.1.20,667.96,668.14,669.82,666.11
2017.1.19,666.35,669.87,671.6,664.73
2017.1.18,668.6,669.18,669.18,666.07
2017.1.17,669.89,666.99,671.78,666.64
2017.1.13,668.41,666.72,669.13,666.61
2017.1.12,666.37,665.51,666.8,660.74
2017.1.11,666.58,664.86,666.59,662.62
2017.1.10,665.11,662.66,667.76,661.82
2017.1.9,662.47,662.93,664.58,661.71
2017.1.6,662.91,660.51,665.39,657.59
2017.1.5,660.05,657.4,660.39,656.7
2017.1.4,660.48,654.24,661.25,654.1
2017.1.3,651.81,653.13,655.55,648
2016.12.30,647.82,655.13,655.57,646.18
2016.12.29,653.91,655.11,656.9,652.36
2016.12.28,654.89,660.22,661.03,654.6
2016.12.27,659.03,657.43,661.81,657.26
2016.12.23,656.73,658.28,659.11,655.99
2016.12.22,658.33,663.62,663.63,657.09
2016.12.21,665.04,664.91,665.92,663.71
2016.12.20,665.37,661.41,666.42,661.29
2016.12.19,660.19,659.06,663.78,658.6
2016.12.16,658.82,663.13,663.67,657.79
2016.12.15,661.83,663.53,666.56,661.59
2016.12.14,663.51,667.57,669.1,662.49
2016.12.13,667.86,664.18,670.64,664.18
2016.12.12,662.38,666.22,666.61,660.79
2016.12.9,667.72,667.1,667.72,664.37
2016.12.8,666.35,665.99,668,664.76
2016.12.7,665.94,654.06,666.87,653.39
2016.12.6,653.82,652.56,653.97,651.04
2016.12.5,651.77,648.28,653.48,647.39
2016.12.2,645.47,648.31,650.85,644.79
2016.12.1,649.11,648.11,652.39,647.1
2016.11.30,648.55,654.1,654.38,648.55
2016.11.29,654.25,653.85,655.34,652.6
2016.11.28,653.06,656.55,656.81,651.71
2016.11.25,658.55,658.26,659.09,657.61
2016.11.23,656.75,655.37,657.3,655.19
2016.11.22,656.09,650.33,656.75,650.3
2016.11.21,648.1,645.05,648.21,644.81
2016.11.18,644.04,646.36,647.04,643.6
2016.11.17,646.19,638.79,646.2,637.79
2016.11.16,638.42,633.54,638.6,633.19
2016.11.15,634.96,633.78,636.09,632.66
2016.11.14,632.81,634.95,637.63,632.21
2016.11.11,633.21,627.11,633.76,626.65
2016.11.10,629.18,629.34,636.25,624.44
2016.11.9,627.1,615.79,628.07,613.12
2016.11.8,625.95,623.57,628.33,621.69
2016.11.7,622.97,616.45,623.21,616.45
2016.11.4,608.93,609.12,614.41,608.25
2016.11.3,610.26,613.6,615.91,609.06
2016.11.2,611.77,614.3,616.7,610.52
2016.11.1,615.31,621.75,623.75,610.88
2016.10.31,620.52,620.1,621.52,618.97
2016.10.28,619.65,617.52,623.79,616.9
2016.10.27,621.05,627.8,628.39,620
2016.10.26,626.47,627.14,628.87,625.46
2016.10.25,629.16,635.37,635.37,628.79
2016.10.24,636.72,635.18,636.98,634.51
2016.10.21,632.18,625.27,632.99,624.65
2016.10.20,627.36,627.9,628.56,624.66
2016.10.19,628.28,626.4,628.98,625.05
2016.10.18,625.18,627.87,628.2,624.63
2016.10.17,621.54,625.82,626.16,621.28
2016.10.14,626.39,630.1,631.35,626.39
2016.10.13,627.39,626.47,629.01,621.16
2016.10.12,629.41,627.46,631.96,626.9
2016.10.11,626.96,633.11,633.3,625.6
2016.10.10,634.18,635.17,637.06,634.1
2016.10.7,633.6,637.77,638.03,631.93
2016.10.6,636.4,634.95,637.49,632.57
2016.10.5,636.07,635.08,638.28,635.08
2016.10.4,633.62,636.4,638.14,632.1
2016.10.3,635.67,634.33,636.72,632.95
2016.9.30,635.96,632.77,637.86,632.55
2016.9.29,630.79,633.79,637.05,629.24
2016.9.28,634.17,632.56,634.44,630.51
2016.9.27,632.25,626.67,632.33,625.98
2016.9.26,626.03,631.16,631.16,625.34
2016.9.23,633.09,633.19,635.11,632.71
2016.9.22,634.53,632.54,635.6,632.54
2016.9.21,629.67,625.23,630.16,622.99
2016.9.20,624.01,625.71,626.61,622.45
2016.9.19,623.41,625.61,627.63,622.08
2016.9.16,624.07,624.52,624.52,621.28
2016.9.15,625.07,619.92,625.63,618.08
2016.9.14,620.78,621.18,624.34,619.06
2016.9.13,620.59,626.7,626.7,618.78
2016.9.12,630.08,618.53,631.29,618.28
2016.9.9,621.11,632.71,632.71,621.11
2016.9.8,636.75,639.74,639.74,635.75
2016.9.7,641.74,641.33,642.17,639.37
2016.9.6,641.73,640.94,641.78,637.71
2016.9.2,640.71,642.05,643.21,639.46
2016.9.1,639.79,639.47,640.93,636.2
2016.8.31,638.63,639.5,640.59,636.1
2016.8.30,640.22,643.16,643.57,639.1
2016.8.29,643.83,642.3,644.93,642.3
2016.8.26,641.86,643.9,647.09,639.26
2016.8.25,643.6,644.6,645.89,642.74
2016.8.24,645.98,648.66,649.9,644.76
2016.8.23,648.87,648.65,649.87,648.04
2016.8.22,645.75,646.12,646.78,644.04
2016.8.19,646.31,645.66,647.86,644.26
2016.8.18,646.49,646.88,647.53,645.14
2016.8.17,646.83,647.71,647.72,642.78
2016.8.16,648.15,650.87,650.98,647.76
2016.8.15,651.7,651.42,653.59,651.42
2016.8.12,650.87,650.06,652.25,648.91
2016.8.11,651.06,645.69,651.76,645.69
2016.8.10,644.45,643.86,646.38,643.25
2016.8.9,643.05,645.11,646.41,642.1
2016.8.8,645.19,647.63,648.34,644.63
2016.8.5,647.31,642.76,648.24,642.76
2016.8.4,640.45,639.51,641.91,638.35
2016.8.3,640.77,638.32,640.77,635.58
2016.8.2,639.15,648.41,648.41,637.96
2016.8.1,648.63,647.92,650.55,645.53
2016.7.29,647.81,646.6,648.82,645.25
2016.7.28,647.23,645.29,647.97,641.95
2016.7.27,645.72,648.31,649.97,643.57
2016.7.26,647.93,649.05,651.13,645.77
2016.7.25,649,648.43,649.02,646.94
2016.7.22,648.13,645.27,648.62,644.49
2016.7.21,645.08,646.77,647.98,643.26
2016.7.20,646.72,645.53,647.18,643.07
2016.7.19,644.18,644.86,644.86,641.63
2016.7.18,645.36,643.76,647.22,642.79
2016.7.15,643.3,646.32,647.39,642.61
2016.7.14,646.22,644.3,649.05,644.3
2016.7.13,643.6,646.65,647.23,641.89
2016.7.12,646.68,644.86,648.13,644.86
2016.7.11,643.73,640.92,645.52,640.92
2016.7.8,640.15,629.8,640.65,629.8
2016.7.7,629.11,626.7,629.13,625.78
2016.7.6,626.63,620.59,626.67,617.63
2016.7.5,621.38,624.98,624.98,617.71
2016.7.1,625.95,620.99,628.01,620.87
