Date,Close,Open,High,Low,,
,SPLRCREC,SPLRCREC,SPLRCREC,SPLRCREC,,
2018.8.14,203.77,203.22,204.17,202.9,,
2018.8.13,203.04,203.11,203.6,202.56,,
2018.8.10,203.05,204.74,205.33,202.93,,
2018.8.9,205.11,204.55,205.73,204.53,,
2018.8.8,204.83,206.04,206.06,204.47,,
2018.8.7,205.93,206.29,206.29,204.77,,
2018.8.6,206.38,206.71,207.65,205.94,,
2018.8.3,206.87,204.38,207.13,204.22,,
2018.8.2,204.26,204.61,205.51,203.96,,
2018.8.1,205.34,202.42,205.56,201.72,,
2018.7.31,203.92,201.08,204.54,201.08,,
2018.7.30,200.13,200.22,200.64,198.74,,
2018.7.27,200.24,202.63,202.72,200.1,,
2018.7.26,202.11,201.93,203.05,201.63,,
2018.7.25,201.37,199.72,201.76,199.61,,
2018.7.24,199.46,199.93,200.08,198.38,,
2018.7.23,200.08,200.5,200.5,198.85,,
2018.7.20,200.55,201.91,202.09,199.93,,
2018.7.19,202.41,200.17,203.25,199.82,,
2018.7.18,200.38,200.87,201.57,199.47,,
2018.7.17,201.24,203.03,203.04,200.97,,
2018.7.16,202.52,203.15,203.33,201.16,,
2018.7.13,203.72,204.49,205.2,203.55,,
2018.7.12,204.28,204.19,204.69,203.33,,
2018.7.11,203.87,204.35,204.87,203.59,,
2018.7.10,204.54,203.49,204.78,202.59,,
2018.7.9,203.56,205.47,205.47,202.6,,
2018.7.6,205.44,204.94,205.87,204.79,,
2018.7.5,204.6,202.23,204.7,201.96,,
2018.7.3,201.86,201.1,203.58,200.45,,
2018.7.2,200.9,201.6,202.18,198.56,,
2018.6.29,201.9,200.95,202.92,199.76,,
2018.6.28,201.58,199.85,201.84,199.64,,
2018.6.27,199.87,200.78,201.68,199.87,,
2018.6.26,200.44,199.58,201.25,198.99,,
2018.6.25,199.43,199.81,200.21,198.2,,
2018.6.22,199.79,198.57,200.02,197.58,,
2018.6.21,198.23,196.96,198.41,196.68,,
2018.6.20,197,195.05,197.19,194.94,,
2018.6.19,194.87,194,195.93,194,,
2018.6.18,194.69,194.7,195.2,193.59,,
2018.6.15,195,195.42,196.6,194.73,,
2018.6.14,195.27,193.85,196.02,193.85,,
2018.6.13,193.65,198.11,198.31,193.48,,
2018.6.12,198.25,196.82,198.66,196.32,,
2018.6.11,197.11,197.33,197.81,196.87,,
2018.6.8,197.36,196.45,197.37,196.16,,
2018.6.7,196.46,196.68,197,195.4,,
2018.6.6,196.71,196.08,196.71,195.23,,
2018.6.5,196.09,197.19,197.76,195.8,,
2018.6.4,197.03,195.67,197.03,194.96,,
2018.6.1,195.13,194.27,195.53,193.86,,
2018.5.31,194.35,194.25,194.97,193.5,,
2018.5.30,195.04,192.28,195.73,191.84,,
2018.5.29,192.4,191.49,193.08,190.85,,
2018.5.25,191.92,191.25,192.74,191.25,,
2018.5.24,191.06,192.05,192.53,190.11,,
2018.5.23,191.82,190.38,192.38,190.25,,
2018.5.22,190.27,189.99,190.45,189.16,,
2018.5.21,190.07,188.67,190.51,187.31,,
2018.5.18,188.15,187.98,189.07,187.36,,
2018.5.17,187.97,188.96,189.1,187.54,,
2018.5.16,188.93,190.09,190.58,188.66,,
2018.5.15,189.76,192.09,192.09,189.19,,
2018.5.14,192.98,194.35,194.53,192,,
2018.5.11,194.38,195.58,196.11,194.13,,
2018.5.10,195.33,194.24,195.67,194.24,,
2018.5.9,193.47,192.14,193.5,191.55,,
2018.5.8,192.07,193.14,193.15,191.4,,
2018.5.7,193.39,193.32,193.72,192.56,,
2018.5.4,193.15,190.87,193.71,190.82,,
2018.5.3,191.09,190.7,191.8,190.28,,
2018.5.2,191.26,190.85,192.03,190.04,,
2018.5.1,191.89,190.89,192.1,190.25,,
2018.4.30,190.59,190.86,192.1,190.36,,
2018.4.27,191.32,188.08,191.94,188.08,,
2018.4.26,188.83,187.22,189.93,186.96,,
2018.4.25,186.5,186.73,187.27,185.38,,
2018.4.24,187.14,187.24,188.04,186.14,,
2018.4.23,186.85,186.94,187.55,185.98,,
2018.4.20,186.55,188.5,188.84,186.28,,
2018.4.19,188.21,191.11,191.11,186.99,,
2018.4.18,191.41,192.01,192.54,191.37,,
2018.4.17,191.82,189.89,192.93,189.17,,
2018.4.16,189.3,189.04,190.07,188.12,,
2018.4.13,188.51,187.97,188.76,187.3,,
2018.4.12,187.54,190.22,190.27,187.05,,
2018.4.11,189.72,188.69,191.5,188.62,,
2018.4.10,189.34,191.66,191.85,188.6,,
2018.4.9,190.7,191.19,192.31,190.35,,
2018.4.6,190.83,192.22,193.6,190.33,,
2018.4.5,192.65,192.58,192.87,191.15,,
2018.4.4,192.54,189.28,192.94,188.93,,
2018.4.3,190.22,189.79,190.96,188.62,,
2018.4.2,189.62,192.13,192.62,188.37,,
2018.3.29,192.05,192.37,192.99,191.36,,
2018.3.28,192.26,189.5,192.9,189.5,,
2018.3.27,188.92,188.5,191.56,186.94,,
2018.3.26,188.65,187.51,188.91,186.52,,
2018.3.23,186.12,189.22,189.81,185.66,,
2018.3.22,189.06,189.03,191.96,188.97,,
2018.3.21,189.78,191.62,191.79,188.99,,
2018.3.20,191.55,191.83,192.91,190.82,,
2018.3.19,191.67,193.31,193.31,190.56,,
2018.3.16,193.51,192.59,193.78,191.87,,
2018.3.15,192.5,192.75,193.22,191.66,,
2018.3.14,192.69,192.58,193.11,191.89,,
2018.3.13,192.5,192.35,193.4,191.71,,
2018.3.12,192,191.08,192.44,190.89,,
2018.3.9,191.07,190.09,191.07,189.05,,
2018.3.8,189.72,188.71,189.81,188.13,,
2018.3.7,188.51,186.85,188.74,186.81,,
2018.3.6,187.53,186.96,188.12,185.74,,
2018.3.5,186.8,183.47,187.43,183.35,,
2018.3.2,184.29,184.38,184.57,182.7,,
2018.3.1,184.94,185.37,187.67,184.26,,
2018.2.28,185.98,187.15,188.6,185.89,,
2018.2.27,186.17,189.97,190.19,186.12,,
2018.2.26,190.26,189.81,190.27,188.91,,
2018.2.23,189.43,186.8,189.43,186.53,,
2018.2.22,186.22,184.77,187.71,184.77,,
2018.2.21,184.12,187.29,188.08,184.1,,
2018.2.20,187.51,188.72,190.48,187.41,,
2018.2.16,189.44,188.11,190.23,188.11,,
2018.2.15,188.21,186.53,188.49,185.86,,
2018.2.14,186.49,186.01,186.7,183.76,,
2018.2.13,187.68,186.11,188.3,185.28,,
2018.2.12,186.66,187.11,187.25,182.07,,
2018.2.9,186.19,182.72,187.53,180.54,,
2018.2.8,181.83,187.61,189.11,181.82,,
2018.2.7,187.72,188.11,191.06,187.63,,
2018.2.6,188.58,186.48,189.71,184.57,,
2018.2.5,188.87,193.4,195.42,188.75,,
2018.2.2,194.17,194.43,195.69,192.82,,
2018.2.1,196.19,199.66,200.56,195.91,,
2018.1.31,199.9,195.81,199.93,195.79,,
2018.1.30,195.82,196.09,196.5,195.26,,
2018.1.29,196.73,198.88,198.88,196.55,,
2018.1.26,199.06,198.83,199.06,197.52,,
2018.1.25,198.46,198.92,198.99,197.28,,
2018.1.24,198.8,199.36,199.6,198.12,,
2018.1.23,199.44,197.02,199.45,197.02,,
2018.1.22,196.54,194.87,196.54,194.59,,
2018.1.19,194.65,193.69,194.7,193.18,,
2018.1.18,193.36,194.87,194.87,192.97,,
2018.1.17,195.28,194.6,195.65,193.73,,
2018.1.16,193.95,193.48,197.1,193.48,,
2018.1.12,193.02,194.51,194.57,192.52,,
2018.1.11,194.43,196.31,196.43,194.04,,
2018.1.10,195.74,197.53,197.53,194.83,,
2018.1.9,198.81,201.15,201.18,198.74,,
2018.1.8,201.1,200.01,201.43,200.01,,
2018.1.5,199.93,199.94,200.16,199.31,,
2018.1.4,199.38,202.78,202.78,199.38,,
2018.1.3,202.87,202.8,203.33,202.27,,
2018.1.2,202.66,204.22,204.27,202.52,,
2017.12.29,203.86,204.14,204.55,203.55,,
2017.12.28,204.05,202.96,204.07,202.45,,
2017.12.27,203.09,202.69,203.39,202.38,,
2017.12.26,202.28,201.35,202.71,201.01,,
2017.12.22,201.31,200.12,201.5,199.96,,
2017.12.21,199.84,201.15,201.23,199.63,,
2017.12.20,200.59,202.82,203.13,200.59,,
2017.12.19,202.78,206.73,206.9,202.45,,
2017.12.18,206.68,206.47,207.68,206.47,,
2017.12.15,206.01,205.85,206.63,205.45,,
2017.12.14,205.4,205.53,206.19,205.13,,
2017.12.13,205.59,205.99,207.13,205.47,,
2017.12.12,205.61,205.23,206.24,204.05,,
2017.12.11,204.73,204.3,204.79,203.64,,
2017.12.8,204.33,204.24,204.71,203.78,,
2017.12.7,203.83,202.88,204.12,202.48,,
2017.12.6,203.12,202.95,203.44,202.15,,
2017.12.5,202.8,203.65,203.95,202.72,,
2017.12.4,203.63,206.72,207.17,203.58,,
2017.12.1,206.29,206.34,207,204.58,,
2017.11.30,205.91,205.89,206.48,205.18,,
2017.11.29,205.76,205.97,206.27,204.48,,
2017.11.28,206.16,206.99,207.02,205.17,,
2017.11.27,206.74,207.56,207.63,206.71,,
2017.11.24,207.31,207.11,207.7,206.9,,
2017.11.22,206.55,207.07,207.3,206.24,,
2017.11.21,207.28,206.43,207.43,206.43,,
2017.11.20,206.12,206.76,206.96,205.91,,
2017.11.17,206.71,207.42,208.05,206.59,,
2017.11.16,207.88,207.24,208.41,207.08,,
