Date,Selected_Assets
2022-02-02,"['BTC', 'COCOA', 'COTTON', 'DAX', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'KOSDAQ', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-03,"['BTC', 'COCOA', 'COTTON', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'KOSDAQ', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-04,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-07,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'KOSDAQ', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-08,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-09,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-10,"['BTC', 'COCOA', 'COTTON', 'EURUSD', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-11,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-14,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-15,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'KOSDAQ', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-16,"['BTC', 'COCOA', 'COTTON', 'EURUSD', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'USDCNY', 'VIX', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
